# IO Moon 80188 -- code entry points for the 2026-09 baseline disassembly.
#
#   <flat-address>  <CS value>  <label>          # evidence
#
# Flat addresses are 80188 physical addresses.  ROM1 ("V1 3_01.bin") is
# mapped at 0x80000-0xFFFFF, so file offset = flat - 0x80000.  <CS value> is
# the segment register value the code runs under; it is needed so that near
# branch targets resolve inside the right segment (dasmxx 'g' command).
#
# Every line here was justified from the instruction stream itself -- see
# README.md for the evidence trail.  Labels are deliberately provisional and
# describe what was observed, not what the routine is assumed to mean.

# ---------------------------------------------------------------- reset path
FFFF0  FFFF  reset_vector                # 80188 power-on CS:IP = FFFF:0000
D93FB  D72A  sub_D93FB  # CALL from D778A
D9739  D72A  sub_D9739  # CALL from D7743
D9B91  D72A  sub_D9B91  # CALL from D77A7
D9CAB  D72A  sub_D9CAB  # CALL from D77AE
D9CCE  D72A  sub_D9CCE  # CALL from D77BC
D9D04  D72A  sub_D9D04  # CALL from D77B5
D9EBB  D72A  sub_D9EBB  # CALL from D7791
DA1DF  D72A  sub_DA1DF  # CALL from D47CF (+2 more)
DAB03  D72A  sub_DAB03  # CALL from DC7A8
DAD33  D72A  sub_DAD33  # CALL from D373D
DBCE7  D72A  sub_DBCE7  # CALL from D4544 (+1 more)
DBD26  D72A  sub_DBD26  # CALL from DC7E9
DBD4E  D72A  sub_DBD4E  # CALL from D4566 (+1 more)
DBD6A  D72A  sub_DBD6A  # CALL from DC7FF
DBED2  D72A  sub_DBED2  # CALL from DC765
DC2A6  D72A  sub_DC2A6  # CALL from D374A
DC4C9  D72A  sub_DC4C9  # CALL from DC76E
DC53C  D72A  sub_DC53C  # CALL from DC80C
DC71B  D72A  sub_DC71B  # CALL from D3711
DC934  D72A  sub_DC934  # CALL from D76F8 (+4 more)
DD480  DD25  sub_DD480  # CALL from DD30D
DD58F  DD25  sub_DD58F  # CALL from DD31C
DD669  DD25  sub_DD669  # CALL from DD3B0
DD6FC  DD25  sub_DD6FC  # CALL from DD332
DDA6A  DD25  sub_DDA6A  # CALL from DD327
DDAE1  DD25  sub_DDAE1  # CALL from DD33D
DDB1F  DD25  sub_DDB1F  # CALL from DD3BF
DDB6F  DD25  sub_DDB6F  # CALL from DD377
DDBE9  DD25  sub_DDBE9  # CALL from DD348
DDDE1  DD25  sub_DDDE1  # CALL from DD353
DDFB3  DD25  sub_DDFB3  # CALL from DD35E
DE0F5  DD25  sub_DE0F5  # CALL from DD369
DE338  DD25  sub_DE338  # CALL from DD3CE
DE3CD  DD25  sub_DE3CD  # CALL from E0D3F
DF61B  DD25  sub_DF61B  # CALL from E0D98
E0F7E  DD25  sub_E0F7E  # CALL from DD392
E1F1A  DD25  sub_E1F1A  # CALL from DD3A1
E3269  E326  sub_E3269  # CALL from DCA51
E3278  E326  sub_E3278  # CALL from DCA3B
F0135  F000  sub_F0135  # CALL from F0F6B (+4 more)
F015D  F000  sub_F015D  # CALL from F0F6E (+1 more)
F0196  F000  sub_F0196  # CALL from F0807 (+2 more)
F0205  F000  sub_F0205  # CALL from F10DF (+14 more)
F0264  F000  sub_F0264  # CALL from F0AFE (+1 more)
F04E6  F000  sub_F04E6  # CALL from F1262 (+3 more)
F0C49  F000  sub_F0C49  # CALL from F0A6E (+3 more)
F0C7B  F000  sub_F0C7B  # CALL from F0A59 (+8 more)
F0CAD  F000  sub_F0CAD  # CALL from F0A79
F36F6  F000  sub_F36F6  # CALL from D44B5
F3701  F000  sub_F3701  # CALL from D44BC

# --- pass 3: jumptab.py
DD506  DD25  sub_DD506  # jump-table entry, 1 table(s), first DD501
DD54E  DD25  sub_DD54E  # jump-table entry, 1 table(s), first DD501
DD55D  DD25  sub_DD55D  # jump-table entry, 1 table(s), first DD501
DD57B  DD25  sub_DD57B  # jump-table entry, 1 table(s), first DD501
DD618  DD25  sub_DD618  # jump-table entry, 1 table(s), first DD613
DD647  DD25  sub_DD647  # jump-table entry, 1 table(s), first DD613
DD64E  DD25  sub_DD64E  # jump-table entry, 1 table(s), first DD613
DD655  DD25  sub_DD655  # jump-table entry, 1 table(s), first DD613
DD6AD  DD25  sub_DD6AD  # jump-table entry, 1 table(s), first DD6A8
DD6C3  DD25  sub_DD6C3  # jump-table entry, 1 table(s), first DD6A8
DD6CF  DD25  sub_DD6CF  # jump-table entry, 1 table(s), first DD6A8
DD6DB  DD25  sub_DD6DB  # jump-table entry, 1 table(s), first DD6A8
DE06A  DD25  sub_DE06A  # jump-table entry, 1 table(s), first DE065
DE07C  DD25  sub_DE07C  # jump-table entry, 1 table(s), first DE065
DE0A9  DD25  sub_DE0A9  # jump-table entry, 1 table(s), first DE065
DE0D8  DD25  sub_DE0D8  # jump-table entry, 1 table(s), first DE065
E0FC2  DD25  sub_E0FC2  # jump-table entry, 1 table(s), first E0FBD
E1000  DD25  sub_E1000  # jump-table entry, 1 table(s), first E0FBD
E100B  DD25  sub_E100B  # jump-table entry, 1 table(s), first E0FBD
E101C  DD25  sub_E101C  # jump-table entry, 1 table(s), first E0FBD
E1F5E  DD25  sub_E1F5E  # jump-table entry, 1 table(s), first E1F59
E1F9C  DD25  sub_E1F9C  # jump-table entry, 1 table(s), first E1F59
E1FA7  DD25  sub_E1FA7  # jump-table entry, 1 table(s), first E1F59
E1FB8  DD25  sub_E1FB8  # jump-table entry, 1 table(s), first E1F59

# --- pass 3: scanptr.py pushptr
F3646  F000  sub_F3646  # pushptr, 1 site(s), first D88FC
F3651  F000  sub_F3651  # pushptr, 1 site(s), first D8855
F365C  F000  sub_F365C  # pushptr, 1 site(s), first D88B1
F3667  F000  sub_F3667  # pushptr, 1 site(s), first D8803
F3672  F000  sub_F3672  # pushptr, 1 site(s), first D88F6
F367D  F000  sub_F367D  # pushptr, 1 site(s), first D884F
F3688  F000  sub_F3688  # pushptr, 1 site(s), first D88AB
F3693  F000  sub_F3693  # pushptr, 1 site(s), first D87FD

# --- round r4: 92 targets reached by CALL/JMP from already-decoded code
D0401  D000  sub_D0401  # CALL from DD6CF (+1 more)
D098C  D000  sub_D098C  # CALL from DD681
D09BC  D000  sub_D09BC  # CALL from DD6C8
D09F3  D000  sub_D09F3  # CALL from DD6D4
D0A33  D000  sub_D0A33  # CALL from DD6E0 (+1 more)
D0CFC  D000  sub_D0CFC  # CALL from D0CC3
D40F1  D2F2  sub_D40F1  # CALL from D3D47
D45BC  D2F2  sub_D45BC  # CALL from DC00A
D4FDC  D2F2  sub_D4FDC  # CALL from D4DD2
D50D7  D2F2  sub_D50D7  # CALL from D4FCD
D562F  D2F2  sub_D562F  # CALL from D92A1 (+1 more)
D5F99  D2F2  sub_D5F99  # CALL from DDB61
D734B  D72A  sub_D734B  # CALL from D7627 (+1 more)
D7B47  D72A  sub_D7B47  # CALL from DA20A
D800A  D72A  sub_D800A  # CALL from D7534 (+1 more)
D8154  D72A  sub_D8154  # CALL from D8140
D81B9  D72A  sub_D81B9  # CALL from D8626 (+2 more)
D823B  D72A  sub_D823B  # CALL from D9230 (+1 more)
D8D00  D72A  sub_D8D00  # CALL from D8CE8
D8EE1  D72A  sub_D8EE1  # CALL from D8E6C
D9037  D72A  sub_D9037  # CALL from D8E67
D9444  D72A  sub_D9444  # CALL from D9433 (+1 more)
D9532  D72A  sub_D9532  # CALL from D97AE
D95B0  D72A  sub_D95B0  # CALL from DBF88 (+2 more)
D97D1  D72A  sub_D97D1  # CALL from D9C85
D9B49  D72A  sub_D9B49  # CALL from D9BB5
D9B76  D72A  sub_D9B76  # CALL from D9B98
D9F7D  D72A  sub_D9F7D  # CALL from DA1ED
DA19D  D72A  sub_DA19D  # CALL from DA418
DA41E  D72A  sub_DA41E  # CALL from D9F3D
DA57E  D72A  sub_DA57E  # CALL from D9EC8
DA96D  D72A  sub_DA96D  # CALL from D7549
DAA15  D72A  sub_DAA15  # CALL from D8080
DAAAF  D72A  sub_DAAAF  # CALL from D9DF9 (+6 more)
DAB56  D72A  sub_DAB56  # CALL from D9E2D (+1 more)
DAB92  D72A  sub_DAB92  # CALL from D8902
DAC03  D72A  sub_DAC03  # CALL from D8ED4
DAC69  D72A  sub_DAC69  # CALL from D97C1
DAD52  D72A  sub_DAD52  # CALL from D8B1F (+1 more)
DB369  D72A  sub_DB369  # CALL from D8AF5
DB503  D72A  sub_DB503  # CALL from D9C98
DB5F3  D72A  sub_DB5F3  # CALL from D919D
DB716  D72A  sub_DB716  # CALL from D9E7E
DB839  D72A  sub_DB839  # CALL from D8CEF
DB8F7  D72A  sub_DB8F7  # CALL from D9266
DBB4B  D72A  sub_DBB4B  # CALL from DBF6C (+1 more)
DBB9B  D72A  sub_DBB9B  # CALL from D8C1C
DBC0D  D72A  sub_DBC0D  # CALL from DC010
DC045  D72A  sub_DC045  # CALL from DC57B
DC075  D72A  sub_DC075  # CALL from DC508
DC2FC  D72A  sub_DC2FC  # CALL from DC547 (+1 more)
DC386  D72A  sub_DC386  # CALL from DC2D0
DC410  D72A  sub_DC410  # CALL from DC543 (+1 more)
DC47E  D72A  sub_DC47E  # CALL from DC523
DC497  D72A  sub_DC497  # CALL from DC596
DC5AF  D72A  sub_DC5AF  # CALL from D9E35 (+1 more)
DC8FE  D72A  sub_DC8FE  # CALL from D9D93 (+9 more)
DC97A  D72A  sub_DC97A  # CALL from DC03D (+23 more)
DE3DF  DD25  sub_DE3DF  # CALL from DDBC2
DF5CC  DD25  sub_DF5CC  # CALL from DDAF9
DF764  DD25  sub_DF764  # CALL from DD553
DF829  DD25  sub_DF829  # CALL from E1F66 (+14 more)
DF87E  DD25  sub_DF87E  # CALL from DE3BE (+8 more)
DF8C6  DD25  sub_DF8C6  # CALL from DDD7B
DF9D4  DD25  sub_DF9D4  # CALL from E1F3B (+11 more)
DFBA0  DD25  sub_DFBA0  # CALL from DD4DA
DFC9E  DD25  sub_DFC9E  # CALL from DD5EC
DFD87  DD25  sub_DFD87  # CALL from DD647
DFF47  DD25  sub_DFF47  # CALL from DD64E
E0107  DD25  sub_E0107  # CALL from DDBCC
E029D  DD25  sub_E029D  # CALL from DE025 (+2 more)
E03D0  DD25  sub_E03D0  # CALL from DE343 (+10 more)
E060A  DD25  sub_E060A  # CALL from DDAA7 (+1 more)
E09EE  DD25  sub_E09EE  # CALL from DDF7A (+4 more)
E0A2B  DD25  sub_E0A2B  # CALL from DE39D (+9 more)
E1034  DD25  sub_E1034  # CALL from E0FF9 (+1 more)
E1170  DD25  sub_E1170  # CALL from E1004
E1603  DD25  sub_E1603  # CALL from E100F
E1AA0  DD25  sub_E1AA0  # CALL from E0FF0 (+1 more)
E1FD0  DD25  sub_E1FD0  # CALL from E1F95 (+1 more)
E2162  DD25  sub_E2162  # CALL from E1FA0
E2805  DD25  sub_E2805  # CALL from E1FAB
E2F02  DD25  sub_E2F02  # CALL from E1F8C (+1 more)
E3314  E326  sub_E3314  # CALL from D3EED (+2 more)
F052B  F000  sub_F052B  # CALL from DE273 (+4 more)
F1339  F000  sub_F1339  # CALL from D8C4A
F33EF  F000  sub_F33EF  # CALL from DAB0F
F35D8  F000  sub_F35D8  # CALL from D3F00
F35E3  F000  sub_F35E3  # CALL from D402E
F35EE  F000  sub_F35EE  # CALL from D4035
F35F9  F000  sub_F35F9  # CALL from D464F
F3604  F000  sub_F3604  # CALL from D4656

# --- round r5: 53 targets reached by CALL/JMP from already-decoded code
D093B  D000  sub_D093B  # CALL from DF5FA
D0A5D  D000  sub_D0A5D  # CALL from D0A2E (+3 more)
D0ACA  D000  sub_D0ACA  # CALL from D0A29 (+2 more)
D52D5  D2F2  sub_D52D5  # CALL from D5118 (+2 more)
D5BCF  D2F2  sub_D5BCF  # CALL from D6028
D60B4  D2F2  sub_D60B4  # CALL from D5127 (+2 more)
D7C2B  D72A  sub_D7C2B  # CALL from DB412 (+2 more)
D7DBC  D72A  sub_D7DBC  # CALL from DADC0 (+5 more)
DA468  D72A  sub_DA468  # CALL from DA5A3 (+1 more)
DA5B5  D72A  sub_DA5B5  # CALL from D7396
DA6E4  D72A  sub_DA6E4  # CALL from D73BE
DA7EB  D72A  sub_DA7EB  # CALL from D7375
DAB26  D72A  sub_DAB26  # CALL from D9A49 (+2 more)
DAE22  D72A  sub_DAE22  # CALL from DB3F4
DAE87  D72A  sub_DAE87  # CALL from DB452
DAEA7  D72A  sub_DAEA7  # CALL from D9A81
DAFF7  D72A  sub_DAFF7  # CALL from D9AB0
DB120  D72A  sub_DB120  # CALL from D9ADF
DB225  D72A  sub_DB225  # CALL from D9B14
DB333  D72A  sub_DB333  # CALL from DB422
DB457  D72A  sub_DB457  # CALL from DB7D4 (+2 more)
DB9BD  D72A  sub_DB9BD  # CALL from D97EC
DBB7B  D72A  sub_DBB7B  # CALL from D81FB
DC09C  D72A  sub_DC09C  # CALL from DC48E
DC0D0  D72A  sub_DC0D0  # CALL from DC4A7
DC10D  D72A  sub_DC10D  # CALL from DC44F
DC194  D72A  sub_DC194  # CALL from DC346
DC21B  D72A  sub_DC21B  # CALL from DC3D0
DC4B0  D72A  sub_DC4B0  # CALL from DA457
DC636  D72A  sub_DC636  # CALL from DB7C8
DC6AC  D72A  sub_DC6AC  # CALL from DB7ED (+4 more)
DCA91  D72A  sub_DCA91  # CALL from D8FFE (+1 more)
DCBCA  D72A  sub_DCBCA  # CALL from D603D (+1 more)
DCD9E  D72A  sub_DCD9E  # CALL from D8050
DD03D  D72A  sub_DD03D  # CALL from D8057
DE44C  DD25  sub_DE44C  # CALL from E09D1 (+21 more)
DE736  DD25  sub_DE736  # CALL from DFF16 (+3 more)
DEE60  DD25  sub_DEE60  # CALL from E00D6 (+3 more)
E0A51  DD25  sub_E0A51  # CALL from DFAC9 (+1 more)
E0B0A  DD25  sub_E0B0A  # CALL from DFA98 (+1 more)
E0C24  DD25  sub_E0C24  # CALL from DFA74 (+1 more)
E0E29  DD25  sub_E0E29  # CALL from E2C9A (+22 more)
E0EB1  DD25  sub_E0EB1  # CALL from E2E91 (+15 more)
F0102  F000  sub_F0102  # CALL from D9FBA
F0497  F000  sub_F0497  # CALL from F055D
F1230  F000  sub_F1230  # CALL from DA42F
F2FFD  F000  sub_F2FFD  # CALL from DA9F4 (+1 more)
F3007  F000  sub_F3007  # CALL from DA9FB (+1 more)
F35C2  F000  sub_F35C2  # CALL from DAA71 (+1 more)
F35CD  F000  sub_F35CD  # CALL from DAA78 (+1 more)
F3784  F000  sub_F3784  # CALL from D50F8 (+1 more)
F5122  F000  sub_F5122  # CALL from D900C (+1 more)
F515D  F000  sub_F515D  # CALL from D50BC

# --- round r6: 15 targets reached by CALL/JMP from already-decoded code
D0AF8  D000  sub_D0AF8  # CALL from D0AF4 (+10 more)
D73C9  D72A  sub_D73C9  # CALL from D7E23 (+1 more)
D7B15  D72A  sub_D7B15  # CALL from DC4C0
D7F56  D72A  sub_D7F56  # CALL from D60C6
DA879  D72A  sub_DA879  # CALL from DC100 (+1 more)
DAF9F  D72A  sub_DAF9F  # CALL from DAF02
DB0EA  D72A  sub_DB0EA  # CALL from DB054
DB1F6  D72A  sub_DB1F6  # CALL from DB1AA (+1 more)
DB2D4  D72A  sub_DB2D4  # CALL from DB28E
DC675  D72A  sub_DC675  # CALL from DC6E0
DCFAB  D72A  sub_DCFAB  # CALL from DCF7E (+3 more)
DD1C1  D72A  sub_DD1C1  # CALL from DD194 (+2 more)
F34C5  F000  sub_F34C5  # CALL from DBB2B
F35AC  F000  sub_F35AC  # CALL from F2FFE
F35B7  F000  sub_F35B7  # CALL from F3008
